Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
1982-06-01,13.2603016566326,-1.86648984154309,-617.983715397813,620.298487230206,0.725424220947466,0.725431660082481
1982-06-02,13.1395587467348,-1.30127895695829,-618.174570630453,620.107744646881,0.719730147453889,0.72039765405227
1982-06-03,13.254194327594,-1.38498894391006,-618.1671602695,620.115192626219,0.775696840262415,0.775379723925583
1982-06-04,13.3401262422677,-0.994099386897163,-618.473241710131,619.808893346311,0.776312005377588,0.776229154903944
1982-06-07,13.2687874366589,-0.820728635422802,-618.508305985668,619.773830799189,0.777732905821033,0.777837129320807
1982-06-08,13.32642950237,-0.977559532403002,-618.506533018432,619.775610349393,0.78550142877565,0.785585353292864
1982-06-09,13.2792818334514,-1.03181025353686,-618.206205517918,620.075892385986,0.785063033260541,0.784942461933493
1982-06-10,13.3179796130733,-1.16146642311246,-618.129917043164,620.152207758966,0.758380069614982,0.758099097830052
1982-06-11,13.1939766933168,-0.984602546660293,-618.125545356458,620.156596218064,0.76595230214526,0.766011845171727
1982-06-14,13.4527497773466,-1.11511905369897,-617.925244720055,620.356904014748,0.744983581648784,0.74466290907207
1982-06-15,13.3334476115009,-0.624215413760688,-618.04348639407,620.238639540382,0.882874894439311,0.882897626553132
1982-06-16,13.4225508817237,-0.945045006355682,-617.858015925678,620.424147958104,0.750314623623217,0.750035788374969
1982-06-17,13.5879234634965,-0.756037939856801,-617.849462186103,620.432737103108,0.750285928599367,0.75027225757509
1982-06-18,13.6341327448911,-0.485081505541998,-617.890985984551,620.391249531414,0.890402801729145,0.890411044565144
1982-06-21,13.3956290553598,-0.0656061506162442,-617.679263906893,620.603020760743,1.20355836007341,1.20357280873878
1982-06-22,13.6372440240423,-0.6753888572311,-617.61430166797,620.669848432777,0.797228255372734,0.797100072526159
1982-06-23,13.5144512016801,-0.15272550235854,-617.693044416577,620.591140328604,1.15670807284757,1.15671922372864
1982-06-24,13.5750503310915,-0.327496188374711,-617.626071915227,620.658209014693,1.06365860534322,1.06322936939835
1982-06-25,13.5619662557152,-0.0550706680271756,-617.805811126997,620.478242182682,1.09920339535271,1.09921247844072
1982-06-28,13.5040136008756,0.134274767468687,-617.904018428511,620.380156167259,1.19930319173101,1.19933388287567
1982-06-29,13.3311346270265,0.31437891694559,-617.867801075173,620.416621390076,1.26707819340119,1.26775276252594
1982-06-30,13.255120490559,0.132909118437375,-617.79193058951,620.492537019328,1.26272760656513,1.26240038314848
1982-07-01,13.1433067402486,0.12491636428011,-617.704758708796,620.579969174559,1.26320442800288,1.26334340719286
1982-07-02,13.2431905268288,-0.0604402794428753,-617.660306091978,620.624562605505,1.26217843409406,1.26208380116366
1982-07-05,NA,NA,NA,NA,NA,NA
1982-07-06,13.1707246100503,0.116585630842712,-617.660677257394,620.624069630223,1.31636163126787,1.31685981956093
1982-07-07,13.2768650263345,0.137299350565193,-617.918689814901,620.364848812037,1.36194318940746,1.36209428847946
1982-07-08,12.9297946206718,0.113760157747401,-617.8825451539,620.401788471437,1.67262992050168,1.67339181281657
1982-07-09,12.7912980924016,-0.0672260685547692,-617.70610765837,620.578747513359,1.77550247739624,1.77552204653519
1982-07-12,13.078150547264,-0.926769559172478,-617.887656139636,620.397854652318,1.63669912843739,1.63340805313792
1982-07-13,13.0724758114456,-0.734749089609449,-617.703859709084,620.582625778309,1.1680891629969,1.1671035513302
1982-07-14,13.1715974304968,-0.794098849324359,-617.78923960667,620.497076427076,1.0937981254345,1.09329244889699
1982-07-15,13.060048246457,-0.859050577302274,-617.692057552224,620.594325549477,1.0884001290268,1.08803730424355
1982-07-16,13.0994084581911,-2.46073613301165,-617.580642184705,620.706128923163,0.338480907092158,0.338474406909129
1982-07-19,12.8964959598881,-1.52975286526235,-617.759189800306,620.526694983797,0.919850679318229,0.919859357091466
1982-07-20,12.756699774125,-1.46153601340497,-617.779153080653,620.506637147105,1.12050480392941,1.12085746356025
1982-07-21,12.827178194722,-1.72446997168071,-617.681368596407,620.604426667809,1.12980292572284,1.12981275953683
1982-07-22,12.8720380436521,-2.10744754735622,-617.877202347956,620.408527937637,0.820623574303384,0.82049034625624
1982-07-23,13.0230255251508,-2.91273997006337,-618.077088455859,620.208590111973,0.521477649153846,0.521450325873655
1982-07-26,13.1914987735249,-2.68478021224011,-617.615489081994,620.670254847203,0.852292597422395,0.852295962689169
1982-07-27,13.3373530262009,-4.97442497565985,-617.917384834195,620.368296165901,0.236271723660867,0.23605359758242
1982-07-28,13.4022792435259,-5.43026117432209,-617.024794219992,621.261421336638,0.274194954632396,0.273612990626595
1982-07-29,13.3071461855027,-4.64798141284884,-617.533308790703,620.752098276916,0.287892599461958,0.287533055373256
1982-07-30,13.1880285589979,-4.97007150953713,-617.314958728202,620.970732559709,0.292512132025873,0.292003778385493
1982-08-02,12.9751858880672,-4.61734737334854,-618.046617990255,620.238009918764,0.302782734653165,0.302615157574871
1982-08-03,13.0745364716523,-4.84417075474084,-618.090735236652,620.193770224054,0.34559748744456,0.345599789277854
1982-08-04,13.1034263195975,-5.03955504552783,-618.051275428299,620.23321462313,0.316020266845683,0.316015608175939
1982-08-05,13.1077606244607,-5.46450890168811,-617.577574857193,620.706717484468,0.32496516901505,0.324973647116659
1982-08-06,13.3515814518126,-6.04807012168588,-617.264737770156,621.019903097058,0.300556855439618,0.299913377458126
1982-08-09,13.1791566730653,-5.1498422838401,-617.828305780481,620.455800659405,0.284699584668228,0.284508641137014
1982-08-10,13.1808086455042,-5.01171957234436,-618.15904276465,620.124951468477,0.290370589173534,0.290375855011347
1982-08-11,13.1914748738184,-5.3591910136731,-617.845958165362,620.438044923718,0.28823139958586,0.288118873775926
1982-08-12,13.0860295317241,-5.5803814055119,-617.429922161954,620.854553811767,0.330240460096681,0.329708447519237
1982-08-13,12.6943325642799,-4.31096737723239,-617.179265323149,621.104713948851,0.552665212856951,0.552668521238077
1982-08-16,12.6450851394336,-6.20606141068654,-617.408469652335,620.87539859896,0.354764868286435,0.354715573098364
1982-08-17,12.370372665671,-7.21087309630573,-617.276796513828,621.00733868067,0.294653609725742,0.294097823758707
